w	aiii	av	biii	bv	fiii	fv	giii	gv	kiii	kv	miii	mv
1695.0	0.203343	0.271454	7.746035	7.246964	0.008348	0.003348	0.000000	0.000595	0.000000	0.000000	0.000000	0.000000
1700.0	0.230561	0.300772	7.697574	7.182808	0.010594	0.004008	0.000000	0.000674	0.000000	0.000000	0.000000	0.000000
1705.0	0.260884	0.346971	7.373400	6.972480	0.014250	0.004880	0.000000	0.000734	0.000000	0.000000	0.000000	0.000000
1710.0	0.297933	0.386861	7.113191	6.770970	0.022006	0.005406	0.000000	0.000682	0.000000	0.000000	0.000000	0.000000
1715.0	0.307122	0.415251	6.940595	6.606363	0.029096	0.005657	0.000000	0.000723	0.000000	0.000000	0.000000	0.000000
1720.0	0.304923	0.414083	6.691639	6.427233	0.033754	0.005860	0.000001	0.000671	0.000000	0.000000	0.000000	0.000000
1725.0	0.296568	0.422559	6.766232	6.487076	0.032153	0.006258	0.000001	0.000670	0.000000	0.000000	0.000000	0.000000
1730.0	0.337097	0.466747	7.024415	6.659253	0.038450	0.007299	0.000001	0.000736	0.000000	0.000000	0.000000	0.000000
1735.0	0.339425	0.467921	7.144954	6.741412	0.040306	0.007174	0.000001	0.000797	0.000000	0.000000	0.000000	0.000000
1740.0	0.352878	0.463205	7.261865	6.790554	0.038001	0.007554	0.000001	0.000838	0.000000	0.000000	0.000000	0.000000
1745.0	0.370538	0.484484	7.262301	6.786356	0.041111	0.008848	0.000000	0.000910	0.000000	0.000000	0.000000	0.000000
1750.0	0.399402	0.538499	7.156515	6.788254	0.049433	0.010473	0.000000	0.001019	0.000000	0.000000	0.000000	0.000000
1755.0	0.424855	0.575736	7.233093	6.801888	0.055608	0.012501	0.000000	0.001114	0.000000	0.000000	0.000000	0.000000
1760.0	0.396523	0.526849	7.003479	6.603824	0.053918	0.013294	0.000000	0.001126	0.000000	0.000000	0.000000	0.000000
1765.0	0.356174	0.491737	7.033544	6.531485	0.051313	0.013425	0.000000	0.001075	0.000000	0.000000	0.000000	0.000000
1770.0	0.384086	0.535064	7.074772	6.639232	0.075088	0.015677	0.000000	0.001178	0.000000	0.000000	0.000000	0.000000
1775.0	0.447700	0.599999	6.921390	6.534729	0.110166	0.020149	0.000000	0.001218	0.000000	0.000000	0.000000	0.000000
1780.0	0.485428	0.626271	7.049375	6.660614	0.118830	0.021967	0.000000	0.001202	0.000000	0.000000	0.000000	0.000000
1785.0	0.466346	0.573795	6.728264	6.432224	0.117118	0.020505	0.000000	0.001131	0.000000	0.000000	0.000000	0.000000
1790.0	0.461743	0.575837	6.466250	5.715309	0.114350	0.019731	0.000000	0.000837	0.000000	0.000000	0.000000	0.000000
1795.0	0.501690	0.680539	7.108544	6.075154	0.118090	0.021930	0.000000	0.001170	0.000000	0.000000	0.000000	0.000000
1800.0	0.522021	0.715476	7.288347	6.627184	0.122676	0.022722	0.000000	0.001414	0.000000	0.000000	0.000000	0.000000
1805.0	0.480139	0.669150	7.102874	6.529908	0.118938	0.021019	0.000002	0.001839	0.000000	0.000000	0.000000	0.000000
1810.0	0.456250	0.653244	7.094947	6.443834	0.109755	0.019964	0.000004	0.002190	0.000000	0.000000	0.000000	0.000000
1815.0	0.474246	0.674579	7.095305	6.462204	0.124687	0.022694	0.000006	0.002583	0.000000	0.000000	0.000000	0.000000
1820.0	0.482297	0.688930	7.065720	6.479518	0.124243	0.024995	0.000008	0.002529	0.000000	0.000000	0.000000	0.000000
1825.0	0.479051	0.690887	6.968840	6.411388	0.119888	0.028236	0.000009	0.001884	0.000000	0.000000	0.000000	0.000000
1830.0	0.455878	0.671984	6.757612	6.269281	0.112598	0.027295	0.000010	0.001742	0.000000	0.000000	0.000000	0.000000
1835.0	0.450155	0.624731	6.610891	6.225495	0.115113	0.027310	0.000009	0.001819	0.000000	0.000000	0.000000	0.000000
1840.0	0.419773	0.532140	6.451819	6.049969	0.099056	0.024187	0.000008	0.001781	0.000000	0.000000	0.000000	0.000000
1845.0	0.391915	0.504905	6.351805	5.933583	0.083890	0.020082	0.000005	0.001607	0.000000	0.000000	0.000000	0.000000
1850.0	0.393499	0.509707	6.142878	5.810196	0.074014	0.017558	0.000000	0.001666	0.000000	0.000000	0.000000	0.000000
1855.0	0.394394	0.533169	5.956284	5.640005	0.086782	0.021295	0.000000	0.001801	0.000000	0.000000	0.000000	0.000000
1860.0	0.405884	0.566599	6.114240	5.659861	0.110697	0.024751	0.000000	0.001895	0.000000	0.000000	0.000000	0.000000
